finding_id,category,severity,paper_location,title,audit_sources,audit_count,action_type,notes
F-447e660ce4,REPRODUCIBILITY,S1,§2 (setup),"FedAvg hyperparameters (rounds, local epochs, LR) missing",AUDIT-02;AUDIT-04;AUDIT-05;AUDIT-06;AUDIT-07;AUDIT-08;AUDIT-09;AUDIT-10,8,PAPER_FIX,
F-4ad5dce40c,REPRODUCIBILITY,S1,§2 (setup),Feature extraction and preprocessing pipeline not described,AUDIT-04;AUDIT-09;AUDIT-10,3,PAPER_FIX,
F-4e13c25efd,REPRODUCIBILITY,S1,§2 (setup),AE architecture not described — experiment unreproducible,AUDIT-01;AUDIT-02;AUDIT-03;AUDIT-04;AUDIT-05;AUDIT-06;AUDIT-07;AUDIT-08;AUDIT-09;AUDIT-10,10,PAPER_FIX,
F-56f3c530ef,REPRODUCIBILITY,S1,§1 (intro),No artifact/code availability statement,AUDIT-01;AUDIT-02;AUDIT-03;AUDIT-04;AUDIT-05;AUDIT-06;AUDIT-07;AUDIT-08;AUDIT-09;AUDIT-10,10,PAPER_FIX,
F-5e5517e25d,SPILLOVER,S1,§5.4,Spillover claims not directly quantified — need victim vs. non-victim ΔTPR/ΔFPR breakdown table,AUDIT-01;AUDIT-02;AUDIT-03;AUDIT-04;AUDIT-08;AUDIT-09;AUDIT-10,7,PAPER_FIX,
F-8ae6c046f0,SPILLOVER,S1,§4 / §5,"Cluster policy under-specified: K=3 clusters, but feature representation used for assignment not described",AUDIT-02;AUDIT-10,2,PAPER_FIX,
F-adf1c918ff,SPILLOVER,S1,§4 / §5,Cluster assignment varies across seeds — this is not documented or discussed,AUDIT-05;AUDIT-06;AUDIT-10,3,PAPER_FIX,
F-64588f32e0,STATISTICS,S1,§6 / statistics,N=10 seeds: percentile bootstrap 95% CIs have unreliable coverage (need n≥30); BCa bootstrap recommended,AUDIT-01;AUDIT-03;AUDIT-04;AUDIT-08;AUDIT-09;AUDIT-10,6,PAPER_FIX,
F-95a95d973c,STATISTICS,S1,§6 / statistics,Three-gate framework is entirely bespoke with no citation or principled derivation,AUDIT-04;AUDIT-08;AUDIT-09,3,PAPER_FIX,
F-b02c973ba2,STATISTICS,S1,§6 / statistics,"Gate-1 and Gate-2 constants (0.1×IQR, 0.01×IQR) unjustified — appear potentially post-hoc tuned on results",AUDIT-04;AUDIT-08;AUDIT-09;AUDIT-10,4,PAPER_FIX,
F-b6a2ecf3ad,STATISTICS,S1,§6 / notation,N notation conflict in §6: same symbol N used for federation size (9) and calibration buffer size (≈2622),AUDIT-10,1,PAPER_FIX,
F-db45a4d07d,STATISTICS,S1,§5 / results,Victim-majority condition (≥5/9) for Global THRESHOLD_RAISE unjustified,AUDIT-04;AUDIT-10,2,PAPER_FIX,
F-0b45246ccd,TABLES,S1,Table 1,Table 1: bold convention direction not stated (higher-is-better vs. lower-is-better unclear),AUDIT-04;AUDIT-05;AUDIT-09;AUDIT-10,4,PAPER_FIX,
F-0c0628ecf5,TABLES,S1,Table 1,Table 1: BAP10 / P10 / 'Worst BA' abbreviations undefined — no footnote or legend,AUDIT-04;AUDIT-06;AUDIT-07;AUDIT-08;AUDIT-09;AUDIT-10,6,PAPER_FIX,
F-d5257ddef0,TABLES,S1,Table 2,Table 2: Random-Benign control not shown as explicit rows — control condition invisible,AUDIT-01;AUDIT-02;AUDIT-03;AUDIT-04;AUDIT-05;AUDIT-06;AUDIT-07;AUDIT-08;AUDIT-09;AUDIT-10,10,PAPER_FIX,
F-1efee522d3,VISUALS,S1,Figure 1,Figure 1: no color legend; attack operation and data flow unclear,AUDIT-01;AUDIT-03;AUDIT-09,3,PAPER_FIX,
F-61c8046eee,VISUALS,S1,Figure 1,"Figure 1: diagram labels ""training phase defended"" but calibration is the attack stage",AUDIT-01;AUDIT-03;AUDIT-09,3,PAPER_FIX,
F-715903e3a8,VISUALS,S1,Figure 3,Figure 3: Global line nearly invisible at current y-axis scale — needs inset or separate subplot,AUDIT-10,1,PAPER_FIX,
F-bf066608e1,VISUALS,S1,Figure 2,Figure 2: only seed 0 shown without justification that seed 0 is representative; Cluster condition absent,AUDIT-01;AUDIT-02;AUDIT-03;AUDIT-04;AUDIT-05;AUDIT-06;AUDIT-07;AUDIT-08;AUDIT-09;AUDIT-10,10,PAPER_FIX,
F-d17dbb4517,VISUALS,S1,Figure 3,Figure 3: Random-Benign control not plotted — invisible control condition,AUDIT-01;AUDIT-02;AUDIT-03;AUDIT-04;AUDIT-05;AUDIT-06;AUDIT-07;AUDIT-08;AUDIT-09;AUDIT-10,10,PAPER_FIX,
F-f457b6ac9d,VISUALS,S1,Figures 1-3,"All figures appear to be blurry/low-resolution screenshots, not vector or high-DPI exports",AUDIT-05,1,PAPER_FIX,
F-cb5cbb01cf,PRESENTATION,S2,§5,Local vs. Global P10 Macro-F1 tradeoff not discussed in results narrative,AUDIT-01;AUDIT-03,2,PAPER_FIX,
F-cc15d7c365,TABLES,S2,Table 2,Table 2: dense layout makes comparison across threshold policies difficult,AUDIT-01;AUDIT-09;AUDIT-10,3,PAPER_FIX,
