action ID,priority,issue summary,previous agent claimed status,files supposedly changed,your independent verification status,paper location checked,PDF/page checked if relevant,evidence found,remaining problem if any,decision
A-1975d011a9,P1,Represent Random-Benign negative control,Resolved by table rows and Fig3 caption,table_main_results.tex; main.tex,VERIFIED_RESOLVED,main.tex Fig3 caption; table_main_results.tex,PDF pp.11-12,Neg Ctrl rows show G1 zero; Fig3 caption says Random-Benign not shown and points to table,None,NO_ACTION_NEEDED
A-984973914d,P1,Fix Figure 2 seed0 and Cluster concern,Resolved by caption,main.tex Fig2 caption,VERIFIED_RESOLVED,main.tex Fig2 caption; table_baseline.tex,PDF pp.10-11,Seed0 value corrected to 0.87; caption reports 10-seed mean std and points Cluster to Table 2,None,NO_ACTION_NEEDED
A-e31849338f,P1,Add spillover quantification table,Resolved,results.tex; table_spillover.tex,VERIFIED_RESOLVED,results.tex §5.4; table_spillover.tex,PDF pp.9;12,Table 4 gives victim and non-victim threshold shift; victim TPR; blast fraction,None,NO_ACTION_NEEDED
A-5ccfae0eed,P1,Expand related work and soften no-prior-work claim,Core fixed; comparison table deferred,page budget,DEFERRED_ACCEPTABLE,background.tex §2,PDF p.3,Kloft Laskov contrast and qualified no-prior-work claim are present,Comparison table omitted for 14-page budget; core credibility risk resolved,KEEP_DEFERRED
A-741211d451,P2,Define Table 1 abbreviations,Resolved,table_baseline.tex,VERIFIED_RESOLVED,table_baseline.tex,PDF p.11,CV; Worst BA; P10 Macro-F1 defined in caption,None,NO_ACTION_NEEDED
A-2849af9957,P2,State bold convention,Resolved,table_baseline.tex; table_main_results.tex,VERIFIED_RESOLVED,table_baseline.tex; table_main_results.tex,PDF pp.11-12,Table 2 bold best per column; Table 3 bold zero G1 for negative control,None,NO_ACTION_NEEDED
A-52a92f30db,P2,Define Gate-1 at abstract first use,Resolved,main.tex abstract,VERIFIED_RESOLVED,main.tex abstract; method.tex §4.4,PDF pp.1;6-7,Abstract says primary materiality significance test and forward-references §4,None,NO_ACTION_NEEDED
A-39a0f86ebd,P2,Add precise gray-box definition,Resolved or already present,threat_model.tex,VERIFIED_RESOLVED,threat_model.tex §3,PDF p.4,Adversary controls one client and can read or modify local calibration buffer; no model or gradient or test access,None,NO_ACTION_NEEDED
A-f47168b200,P2,Add formal contamination equation,Deferred,page budget,DEFERRED_ACCEPTABLE,threat_model.tex §3; method.tex §4.3,PDF pp.4-6,Prose specifies m=floor(f times nv); random positions; tail reservoir; with-replacement sampling,Formal equation omitted because prose is unambiguous and paper is at 14 pages,KEEP_DEFERRED
A-19e2ac96a6,P2,Standardize attack vs vulnerability language,Resolved and verified,all sections,VERIFIED_RESOLVED,main.tex; sections,PDF all,Attack denotes mechanism; vulnerability or surface denotes characterized stage; no conflict found,None,NO_ACTION_NEEDED
A-40607a57a6,P2,Fix Figure 1 color and defended labeling,Partial but accepted,main.tex TikZ,VERIFIED_RESOLVED,main.tex Fig1; caption,PDF p.8,Training and aggregation green defended; calibration red undefended; caption states boundary,No separate legend but visual and caption are clear,NO_ACTION_NEEDED
A-e91b1d847d,P2,Define CV(FPR) earlier,Resolved at first results use,results.tex,VERIFIED_RESOLVED,results.tex §5.1; table_baseline.tex,PDF pp.7;11,CV(FPR) definition includes ddof zero and lower is more uniform,None,NO_ACTION_NEEDED
A-2407be7432,P2,Justify victim-majority condition,Resolved,method.tex,VERIFIED_RESOLVED,method.tex §4.4,PDF p.7,Gate-1 requires at least 5 of 9 victims significant; stated as simple majority,None,NO_ACTION_NEEDED
A-01d8c9ea7a,P2,Add paper roadmap paragraph,Deferred,page budget,DEFERRED_ACCEPTABLE,introduction.tex,PDF pp.1-3,Section headings and abstract already provide structure,Roadmap paragraph omitted to preserve 14-page limit,KEEP_DEFERRED
A-213529531a,P2,Fix Figure 3 Global line scale or inset,Deferred and visually acceptable,figure and caption,DEFERRED_ACCEPTABLE,main.tex Fig3; rendered page 11,PDF p.11,Global line is visible; caption explains one-over-N magnitude difference,Inset not added; low value under page and tooling constraints,KEEP_DEFERRED
A-8db2e8afa8,P2,Disambiguate victim vs fleet TPR in Global,Resolved,results.tex; table_spillover.tex,VERIFIED_RESOLVED,results.tex §5.2; table_spillover.tex,PDF pp.9;12,Text states poisoned-client harm and table explains all non-victims receive same threshold shift,None,NO_ACTION_NEEDED
A-d9bc51f540,P2,Add concrete motivating harm scenario to introduction,Deferred but covered in results,page budget,DEFERRED_ACCEPTABLE,results.tex §5.2; introduction.tex,PDF p.9,Danmini and Ennio concrete victim TPR drops contextualize harm,Intro scenario omitted for page budget,KEEP_DEFERRED
A-023cc3fd20,P2,Add recent FL citations and k-means++ citation,Partial by design; no fabricated citations,references.bib; method.tex,DEFERRED_ACCEPTABLE,method.tex §4.2; references.bib,PDF pp.5;13,Arthur Vassilvitskii k-means++ citation present and resolves,Unverified recent FL citations intentionally not added to avoid fabrication,KEEP_DEFERRED
A-6876713dc4,P2,Disambiguate N notation,Resolved,discussion.tex,VERIFIED_RESOLVED,discussion.tex §6,PDF p.10,Uses nv for per-client calibration size and explicitly distinguishes federation N=9,None,NO_ACTION_NEEDED
A-855a2d7014,P2,Remove or derive 30-80 Mirai flows claim,Resolved,results.tex,VERIFIED_RESOLVED,results.tex §5.2,PDF p.9,No 30-80 flows claim remains; harm contextualized by TPR drops only,None,NO_ACTION_NEEDED
A-c8058bdd1f,P2,Add defense requirements sketch,Resolved,discussion.tex,VERIFIED_RESOLVED,discussion.tex §6,PDF p.11,Threshold validation and calibration-set integrity constraints named as defense directions,None,NO_ACTION_NEEDED
A-e6f405cf6f,P2,Specify Cluster features K and variance accurately,Fixed during verification,method.tex; policies.py; cluster_assignments.csv,VERIFIED_RESOLVED,method.tex §4.2; src/datp/thresholding/policies.py,PDF p.5,Fingerprint mean std skew p95 matches implementation; K=3 and random_state 42 stated; equal-size wording removed,None,NO_ACTION_NEEDED
A-a1dbe8cc63,P3,Regenerate figures at 300 DPI or vector,Current assets verified,figures; main.tex,VERIFIED_RESOLVED,paper/figures; main.tex includes PDF and TikZ,PDF pp.8;10-11,Figure 1 is TikZ vector; Figures 2 and 3 are included from PDF assets,None,NO_ACTION_NEEDED
A-418234b961,P3,Discuss Local vs Global P10 Macro-F1 tradeoff,Deferred,page budget,DEFERRED_ACCEPTABLE,results and discussion,PDF pp.9;11,Policy tradeoff already discussed for victim isolation versus fleet propagation,Specific P10 Macro-F1 tradeoff prose is low value at 14-page ceiling,KEEP_DEFERRED
A-c5f373c929,P3,Improve Table 2 layout density,Deferred after visual check,page budget,DEFERRED_ACCEPTABLE,table_main_results.tex,PDF p.12,Table 3 fits page width; columns readable; negative controls visible,Cosmetic split or reflow risks page-budget regression,KEEP_DEFERRED
